EarTagNumberOriginal,EarTagNumberCurrent,StrainNameCurrent,DietCode,Sex,AgeAtDeath,WeightBody,Glucose,TotalChol,Triglycerides,FFA
1224,1224,B6D2F1,CD,F,216,32.5,12.5,1.2,0.22,0.48
1222,1222,B6D2F1,CD,F,364,33.03,9.9,1.8,1.09,0.83
1223,1223,B6D2F1,CD,F,216,31.39,12.3,1.8,0.20,0.41
1232,1232,B6D2F1,CD,F,364,46.4,9.8,2.0,1.17,1.01
1228,1228,B6D2F1,CD,F,726,43.79,13.0,3.2,0.64,0.52
1535,1568,B6D2F1,CD,F,552,28.41,11.1,2.3,0.21,0.50
1536,1569,B6D2F1,CD,F,552,27,14.7,2.2,0.16,0.25
1227,1227,B6D2F1,CD,F,640,45.94,5.6,0.3,1.22,
258,258,BXD100,CD,F,743,24.6,7.0,2.0,0.12,0.44
1514,1799,BXD100,CD,F,463,23.46,9.4,2.0,0.37,0.49
2086,2086,BXD100,CD,F,176,22.81,9.4,2.0,0.42,0.80
259,480,BXD100,CD,F,743,25.26,9.2,1.6,0.00,0.54
1190,1190,BXD100,CD,F,567,29.4,9.2,1.8,0.23,0.43
1185,1296,BXD100,CD,F,537,31.39,12.1,1.9,0.35,0.44
1213,1213,BXD100,CD,F,374,35.23,14.8,2.2,0.01,0.83
1214,1297,BXD100,CD,F,374,34.3,15.2,0.9,0.08,0.14
1184,1184,BXD100,CD,F,537,36.5,12.9,1.7,0.32,0.34
1240,1313,BXD100,CD,F,628,28.35,8.9,1.0,0.20,0.39
1241,1241,BXD100,CD,F,628,29.22,5.9,0.5,0.00,0.15
248,248,BXD100,CD,F,223,25.98,10.9,1.3,0.75,0.57
247,247,BXD100,CD,F,223,33.3,12.7,0.9,0.88,0.85
800,800,BXD101,CD,F,738,22.94,7.0,1.0,1.07,0.57
1425,1425,BXD101,CD,F,349,37.09,11.3,1.4,0.98,1.18
1426,1426,BXD101,CD,F,513,25.56,11.0,2.1,0.60,0.70
469,469,BXD101,CD,F,223,26.54,11.9,2.7,1.17,1
468,468,BXD101,CD,F,223,26.79,9.5,3.2,0.98,0.79
1424,1424,BXD101,CD,F,349,35.51,17.5,1.9,0.27,0.62
1500,1746,BXD102,CD,F,501,23.01,7.5,1.9,0.66,0.69
1695,1695,BXD102,CD,F,363,36.65,4.6,2.4,1.75,1.32
1364,1364,BXD102,CD,F,183,20.34,14.7,1.7,0.51,0.71
1697,1697,BXD102,CD,F,353,24.35,5.5,2.0,0.71,0.82
229,229,BXD102,CD,F,354,28.6,15.8,2.3,0.71,0.99
231,231,BXD102,CD,F,354,25.6,14.2,2,0.58,0.61
450,450,BXD102,CD,F,714,24.95,9.5,2.0,0.10,0.58
448,448,BXD102,CD,F,714,28,6.6,0.5,0.28,0.16
1363,1363,BXD102,CD,F,183,20.23,10.2,1.1,0.36,0.39
1499,1499,BXD102,CD,F,501,26.74,7.4,2.3,0.53,0.49
96,96,BXD11,CD,F,741,25.25,11.2,1.5,0.35,0.42
95,95,BXD11,CD,F,741,23.2,12.1,2.2,0.37,0.54
1333,1333,BXD13,CD,F,362,19.1,13.8,1.5,0.56,0.32
1334,1576,BXD13,CD,F,362,25.49,4.3,0.4,1.19,
1792,1792,BXD24,CD,F,205,21.53,10.6,1.4,0.11,0.08
1791,1791,BXD24,CD,F,205,22.68,9.3,1.6,0.08,0.47
1034,1277,BXD24,CD,F,377,24.96,11.3,1.3,0.03,0.35
778,778,BXD27,CD,F,226,23.9,11.9,2.3,0.21,0.41
777,777,BXD27,CD,F,226,24.92,11.9,1.9,0.37,0.15
1534,1800,BXD29,CD,F,478,23.15,8.9,1.3,0.33,0.51
770,770,BXD29,CD,F,225,23.7,11.1,1.7,0.41,0.85
772,772,BXD29,CD,F,385,25.87,10.0,1.2,0.31,0.51
771,771,BXD29,CD,F,225,24.7,14.4,1.9,0.53,0.79
773,773,BXD29,CD,F,385,24.45,13.3,1.2,0.11,0.41
1045,1045,BXD29,CD,F,724,24.23,11.5,1.5,0.05,0.28
1041,1041,BXD29,CD,F,574,29.02,9.4,0.8,0.49,0.45
1521,1521,BXD29,CD,F,431,29.48,11.6,1.6,0.48,0.56
1035,1288,BXD29,CD,F,630,28.62,9.0,1.6,0.32,0.64
1040,1040,BXD29,CD,F,574,29.58,8.4,1.3,0.51,0.62
1044,1044,BXD29,CD,F,724,21.33,9.8,1.6,0.00,0.23
743,743,BXD29,CD,F,572,22.71,8.3,1.5,0.11,0.82
742,742,BXD29,CD,F,572,22.37,7.5,0.8,0.01,0.65
2035,2035,BXD32,CD,F,200,21.1,10.5,1.8,0.28,0.34
2034,2034,BXD32,CD,F,200,25.5,17.0,1.2,0.59,0.18
87,87,BXD32,CD,F,742,24.95,12.9,2.5,1.30,0.62
88,88,BXD32,CD,F,742,22.3,11.1,2.2,0.77,0.73
766,766,BXD34,CD,F,554,25.34,9.3,1.8,0.23,0.51
273,273,BXD34,CD,F,361,25.3,12.3,2.1,0.36,0.71
275,275,BXD34,CD,F,361,30.6,10.2,2.3,0.69,1.09
765,765,BXD34,CD,F,554,25.92,6.6,0.1,0.03,0.37
1048,1048,BXD34,CD,F,209,35.79,13.8,2.7,0.23,0.66
286,286,BXD34,CD,F,748,29.05,8.2,1.8,0.00,0.25
288,288,BXD34,CD,F,748,25.97,7.4,1.6,0.07,0.26
1054,1054,BXD34,CD,F,201,33.54,10.3,0.8,0.56,
1322,1322,BXD39,CD,F,550,18.09,8.6,1.6,0.10,1.26
675,675,BXD39,CD,F,730,20.2,5.4,0.9,0.03,0.43
673,673,BXD39,CD,F,730,21.3,7.1,1.3,0.14,0.51
1691,1691,BXD40,CD,F,180,22.54,12.0,2.3,0.32,0.62
1483,1483,BXD40,CD,F,284,21.12,9.3,2.0,0.28,0.88
1482,1482,BXD40,CD,F,451,25.95,8.6,2.1,0.45,0.72
1692,1688,BXD40,CD,F,180,38.27,9.2,2.7,0.18,0.31
1058,1058,BXD40,CD,F,362,24.92,12.2,1.6,0.30,0.68
1057,1057,BXD40,CD,F,362,22.59,8.1,1.8,0.40,0.43
1327,1327,BXD40,CD,F,675,30.97,8.8,1.8,0.16,0.45
680,680,BXD40,CD,F,578,29.13,9.9,1.5,0.15,0.51
679,679,BXD40,CD,F,578,26.33,9.1,1.6,0.60,0.65
1822,1822,BXD44,CD,F,240,20.6,8.8,2.2,0.41,0.55
1823,1823,BXD44,CD,F,240,21,11.8,1.8,0.39,0.56
1505,1505,BXD44,CD,F,379,22.04,10.7,1.0,0.69,1.90
1504,1504,BXD44,CD,F,379,24.08,14.2,2.1,0.11,0.33
1392,1762,BXD45,CD,F,384,23.47,11.0,1.7,0.71,0.17
1391,1391,BXD45,CD,F,384,24.16,11.9,1.3,0.99,0.31
2054,2054,BXD48,CD,F,188,25.9,18.4,2.2,0.21,0.48
136,136,BXD48,CD,F,740,26.27,9.8,1.5,0.34,0.68
132,132,BXD48,CD,F,731,29.72,8.2,0.5,0.12,0.25
5,5,BXD48,CD,F,405,21.11,8.7,2.5,0.59,0.61
4,4,BXD48,CD,F,405,22.28,6.8,1.8,0.39,0.32
1455,1455,BXD48a,CD,F,436,27.34,11.4,1.9,0.18,0.35
1454,1454,BXD48a,CD,F,436,25.83,10.5,1.8,0.20,0.26
1189,1189,BXD48a,CD,F,604,27.02,8.8,1.4,0.61,0.51
1188,1188,BXD48a,CD,F,604,23.87,5.2,1.7,0.28,0.76
211,211,BXD48a,CD,F,233,27.08,11.3,1.5,0.73,0.55
209,209,BXD48a,CD,F,233,31.65,12.1,2,0.81,0.55
70,70,BXD48a,CD,F,419,23.71,6.5,1.5,0.53,0.43
69,69,BXD48a,CD,F,419,24.04,7.9,1.5,0.51,0.44
2058,2058,BXD49,CD,F,190,26.15,9.9,1.2,0.37,0.23
703,703,BXD51,CD,F,348,29.03,12.1,1.4,0.27,0.40
704,704,BXD51,CD,F,348,28.57,14.2,1.4,0.65,0.56
854,854,BXD53,CD,F,718,32.54,11.7,1.9,0.04,0.44
851,851,BXD53,CD,F,718,26.07,9.7,2.0,0.00,0.29
847,847,BXD53,CD,F,571,25.95,5.1,1.1,0.40,0.20
848,848,BXD53,CD,F,571,35.47,16.3,2.6,0.59,2.09
763,763,BXD56,CD,F,218,25.2,14.6,1.7,0.53,0.74
762,762,BXD56,CD,F,218,26.3,13.7,1.6,0.99,0.8
169,169,BXD60,CD,F,744,30.43,7.2,1.5,0.04,0.52
236,236,BXD60,CD,F,759,26.37,7.4,1.4,0.00,0.32
235,235,BXD60,CD,F,235,32.85,11.2,1.3,0.65,0.29
234,234,BXD60,CD,F,235,22.88,10.1,1.9,0.94,0.58
171,171,BXD60,CD,F,530,24.14,2.5,0.4,0.12,0.17
170,170,BXD60,CD,F,530,43.42,14.4,2.3,0.75,0.66
1725,1770,BXD61,CD,F,188,29.63,15.0,2.5,0.49,0.86
1724,1724,BXD61,CD,F,188,28.51,14.3,2.6,0.23,0.51
1206,1206,BXD62,CD,F,548,24.6,10.2,1.7,0.01,0.25
1848,1848,BXD62,CD,F,253,24.3,8.4,2.2,0.28,0.45
1478,1478,BXD62,CD,F,376,22.71,7.8,2.8,0.53,0.48
1847,1847,BXD62,CD,F,253,25,13.6,2.0,0.28,0.33
1436,1436,BXD62,CD,F,353,23.07,4.1,0.5,0.50,0.09
1209,1798,BXD62,CD,F,724,26.34,7.3,2.1,0.50,0.19
818,818,BXD63,CD,F,218,28.3,17.7,1.9,0.86,0.35
819,819,BXD63,CD,F,218,28.1,12.8,1.3,0.36,0.36
1414,1414,BXD63,CD,F,344,38.15,13.3,1.9,0.86,0.88
1417,1741,BXD63,CD,F,344,29.24,7.0,0.7,0.45,0.29
820,820,BXD63,CD,F,582,23.12,9.6,1.8,0.21,2.06
821,821,BXD63,CD,F,582,27.92,9.1,1.9,0.59,0.77
1204,1204,BXD64,CD,F,209,21.69,11.6,2.3,0.33,0.69
1203,1203,BXD64,CD,F,209,23.1,,0.7,0.24,0.25
1199,1199,BXD64,CD,F,550,51.29,3.6,0.4,0.07,0.31
1283,1283,BXD65,CD,F,367,33.63,13.3,2.2,0.79,0.95
2097,2097,BXD65,CD,F,186,26.51,12.0,2.7,0.64,0.78
1720,1720,BXD65,CD,F,181,24.56,12.6,2.5,0.43,0.70
2098,2098,BXD65,CD,F,222,23.8,13.7,2.1,0.30,0.07
808,808,BXD65,CD,F,711,32.48,11.8,1.6,0.37,0.52
807,807,BXD65,CD,F,711,26.42,7.9,1.2,0.17,0.48
1284,1284,BXD65,CD,F,367,40.71,14.8,2.3,0.11,0.42
1710,1710,BXD65b,CD,F,187,41.28,13.9,1.9,0.33,0.30
1412,1412,BXD65b,CD,F,370,29.68,11.1,2.3,0.45,0.76
1595,1595,BXD65b,CD,F,415,44.81,10.7,2.7,0.48,0.71
1413,1413,BXD65b,CD,F,370,33.33,11.9,2.7,1.00,1.19
1596,1596,BXD65b,CD,F,415,24.94,8.9,2.3,0.62,0.72
1709,1766,BXD65b,CD,F,187,26.09,15.1,2.3,0.56,0.50
1410,1410,BXD65b,CD,F,302,24.01,15.4,2.2,0.16,0.51
1714,1714,BXD65b,CD,F,174,45.76,16.6,3.9,0.03,0.24
2127,2127,BXD66,CD,F,184,27.36,8.1,2.4,1.33,1.33
2128,2128,BXD66,CD,F,184,29.16,6.1,2.6,1.95,1.77
1558,1558,BXD66,CD,F,354,21.58,9.0,3.2,0.15,0.66
224,224,BXD66,CD,F,241,19.25,8.1,2.1,0.89,1.14
222,222,BXD66,CD,F,241,23.98,10.6,2.1,1.41,1.09
1343,1343,BXD67,CD,F,716,23.48,12.5,3.1,0.68,0.56
758,758,BXD67,CD,F,564,22.02,6.4,1.8,0.12,0.79
1344,1344,BXD67,CD,F,716,27.03,6.2,2.0,0.19,0.33
759,759,BXD67,CD,F,564,22.78,5.6,1.2,0.28,0.64
1080,1080,BXD68,CD,F,545,25.5,11.8,2.2,0.30,0.68
1899,1899,BXD68,CD,F,349,22.54,7.1,2.5,0.46,0.47
1898,1898,BXD68,CD,F,349,19.09,3.9,2.5,0.49,0.56
1079,1079,BXD68,CD,F,545,25.08,7.1,0.6,0.77,0.15
1069,1069,BXD68,CD,F,201,28.58,14.5,2.3,0.37,0.47
1068,1068,BXD68,CD,F,201,24.49,11.0,2.1,0.24,0.12
2142,2142,BXD69,CD,F,157,23.92,9.2,2.4,0.39,0.36
591,591,BXD69,CD,F,558,33.33,11.7,1.8,0.47,0.64
592,592,BXD69,CD,F,558,31.81,10.8,0.9,0.23,0.50
1491,1491,BXD70,CD,F,434,20.89,4.7,1.4,0.57,0.15
1512,1512,BXD70,CD,F,357,23.91,11.1,1.6,0.57,0.39
1487,1487,BXD70,CD,F,434,34.51,11.6,1.7,0.61,0.48
1486,1486,BXD70,CD,F,434,25.38,14.3,2.2,0.33,0.27
1856,1936,BXD70,CD,F,261,24.67,8.2,1.1,0.46,0.36
1511,1511,BXD70,CD,F,357,22.65,8.2,1.5,0.28,0.47
1855,1855,BXD70,CD,F,261,25.97,6.6,1.4,0.52,0.44
189,189,BXD70,CD,F,239,26.67,10.5,1.6,0.63,0.55
187,187,BXD70,CD,F,239,25.03,10.5,2.5,0.8,0.99
2072,2072,BXD73,CD,F,206,19.9,9.4,0.6,0.40,1.17
1859,1859,BXD73,CD,F,259,21.9,7.3,1.0,0.54,0.59
1451,1451,BXD73,CD,F,361,24.38,9.6,1.5,0.28,0.43
1450,1450,BXD73,CD,F,361,24.14,4.1,0.6,0.20,0.38
1466,1466,BXD73b,CD,F,497,23.54,9.0,1.9,0.30,0.55
267,267,BXD73b,CD,F,377,32.3,8,0.7,0.29,0.05
265,265,BXD73b,CD,F,377,23.9,6.7,0.5,0.34,0.01
1546,1546,BXD73b,CD,F,474,26.39,9.4,1.9,0.24,0.31
184,184,BXD73b,CD,F,237,25.75,13,1.3,0.34,0.44
182,182,BXD73b,CD,F,237,22.71,6.9,1.3,0.7,1.04
1398,1398,BXD77,CD,F,460,26.44,9.4,1.9,0.50,0.41
148,148,BXD77,CD,F,352,25,15.8,2.2,0.44,0.58
146,146,BXD77,CD,F,353,25,7.8,0.5,0.22,0.22
1397,1397,BXD77,CD,F,460,27.43,7.5,0.7,0.70,0.16
31,31,BXD77,CD,F,757,16.06,7.6,1.5,0.41,0.67
30,30,BXD77,CD,F,757,24.4,9.1,1.7,0.63,0.33
823,823,BXD79,CD,F,217,25.8,13.6,1.5,0.27,0.26
1554,1554,BXD79,CD,F,468,27.83,11.6,1.8,0.64,0.85
825,825,BXD79,CD,F,217,25.5,16.8,1.8,0.57,0.49
1555,1555,BXD79,CD,F,468,27.95,10.4,1.7,0.43,0.52
1429,1429,BXD79,CD,F,472,23.61,7.4,1.7,0.10,0.38
824,824,BXD79,CD,F,378,31.24,11.9,1.6,0.82,0.68
826,826,BXD79,CD,F,378,30.76,11.4,1.5,0.68,0.70
831,831,BXD79,CD,F,570,24.73,4.1,1.2,0.07,0.27
832,832,BXD79,CD,F,570,35.51,14.3,1.6,0.38,0.70
238,238,BXD81,CD,F,237,17.26,8.5,1.3,1,0.96
240,240,BXD81,CD,F,237,15.71,8.5,1.7,0.88,1.08
301,301,BXD83,CD,F,553,21.4,14.9,2.3,0.37,0.48
299,299,BXD83,CD,F,553,22.7,8.1,0.5,0.23,0.27
637,637,BXD84,CD,F,385,23.49,8.1,1.3,1.12,0.63
638,638,BXD84,CD,F,385,22.83,10.0,1.4,0.58,0.89
252,252,BXD86,CD,F,731,21.33,8.2,1.8,0.00,0.32
254,254,BXD86,CD,F,746,34.15,10.7,1.7,0.09,0.52
614,614,BXD86,CD,F,544,37.9,14.5,2.5,1.01,1.09
615,615,BXD86,CD,F,544,36.91,14.3,2.2,0.64,0.94
550,550,BXD87,CD,F,200,20.6,14.2,1.8,0.26,0.66
549,549,BXD87,CD,F,200,21.8,13.3,2.9,0.61,0.7
296,296,BXD87,CD,F,581,19.67,,1.9,0.62,0.53
298,298,BXD87,CD,F,581,22.75,8.0,1.7,0.43,0.77
897,897,BXD88,CD,F,716,32.45,8.6,1.5,0.07,0.43
895,929,BXD88,CD,F,716,26.36,8.0,1.7,0.00,0.31
554,554,BXD89,CD,F,193,22.7,9.2,0.6,0.76,0.1
555,555,BXD89,CD,F,193,25.6,8.7,2,0.6,0.57
367,367,BXD9,CD,F,348,46.2,15.3,2,0.39,0.48
365,365,BXD9,CD,F,348,49.3,15.1,3.4,0.65,0.59
1006,1006,BXD9,CD,F,548,29.66,5.8,1.7,1.21,0.44
1702,1702,BXD90,CD,F,188,20.09,11.5,2.1,0.36,0.30
1096,1096,BXD90,CD,F,732,23.02,9.0,2.1,1.11,0.80
756,756,BXD90,CD,F,549,25.52,14.1,1.6,0.00,0.27
755,755,BXD90,CD,F,549,25.87,12.7,1.3,0.00,0.23
883,883,BXD91,CD,F,562,29.26,8.6,1.2,0.45,0.76
884,884,BXD91,CD,F,562,25.7,12.3,1.6,0.19,0.70
1566,1742,BXD95,CD,F,536,24.79,10.5,2.2,0.20,0.37
1564,1564,BXD95,CD,F,644,24.92,7.0,1.8,0.23,0.38
1270,1270,BXD95,CD,F,366,32.36,11.1,2.5,0.30,0.66
1271,1271,BXD95,CD,F,366,26.97,13.4,1.8,0.46,0.57
1565,1565,BXD95,CD,F,536,20.76,7.0,2.0,0.23,0.39
1524,1524,BXD98,CD,F,384,22.32,12.3,1.4,0.30,0.30
1525,1769,BXD98,CD,F,384,21.88,11.3,1.6,0.07,0.57
1354,1354,BXD99,CD,F,535,22.8,7.6,1.9,0.61,0.38
527,527,C57BL/6J,CD,F,215,25.7,17.4,2,0.16,0.5
1103,1103,C57BL/6J,CD,F,537,27.83,9.8,1.9,0.19,0.24
1679,1679,C57BL/6J,CD,F,359,23.06,11.0,1.6,0.19,0.47
1680,1680,C57BL/6J,CD,F,182,19.72,12.4,1.5,0.12,0.35
526,526,C57BL/6J,CD,F,215,22.8,4.1,0.5,0.48,
1104,1764,C57BL/6J,CD,F,537,35.34,11.6,2.2,0.30,0.27
691,927,C57BL/6J,CD,F,734,28.68,1.3,0.9,0.45,0.48
689,689,C57BL/6J,CD,F,739,24.29,5.0,0.8,0.20,0.71
1165,1165,D2B6F1,CD,F,744,43.9,13.7,2.6,0.28,0.79
1162,1162,D2B6F1,CD,F,744,42.05,12.7,2.6,0.28,0.78
1154,1154,D2B6F1,CD,F,210,41.77,14.7,1.6,0.31,0.59
1443,1443,D2B6F1,CD,F,500,46.38,9.6,2.2,1.34,0.68
1170,1170,D2B6F1,CD,F,370,41.62,12.5,2.1,0.86,1.49
1169,1169,D2B6F1,CD,F,370,38.63,10.4,2.3,0.56,0.73
1153,1153,D2B6F1,CD,F,210,37.96,9.0,0.9,0.62,0.44
645,645,D2B6F1,CD,F,545,35.75,11.4,2.7,0.46,1.01
646,646,D2B6F1,CD,F,545,48.47,16.1,2.5,0.94,1.13
1886,1886,DBA/2J,CD,F,344,26.01,7.9,1.7,1.95,1.33
1885,1885,DBA/2J,CD,F,344,26.02,8.8,1.5,0.61,0.80
