EarTagNumberOriginal,EarTagNumberCurrent,IDCase,StrainNameCurrent,DietCode,Sex,DateOfBirth,DateOfDeath,CauseOfDeath,AgeAtDeath,WeightBody,WeightSubcutaneousWat,WeightPerirenalWat,WeightPerigonadalWat,Subq Adiposity,Visceral Fat Mass,Visceral Adiposity,Total Fat Mass,Total Adiposity
1411,1411,092216.13,BXD65b,CD,F,12/10/2013,09/22/2016,Harvest,1017,16.39,,,0.032,0.000,0.032,0.195,0.032,0.195
1903,1903,092216.15,BXD70,CD,F,05/20/2014,09/22/2016,Harvest,856,18.11,0.0463,0.0475,0.0854,0.256,0.1329,0.734,0.179,0.990
1850,1850,083016.04,BXD69,CD,F,07/09/2014,09/01/2016,Harvest,785,22.27,0.3843,0.157,0.4502,1.726,0.6072,2.727,0.992,4.452
2555,2555,020518.09,BXD28,CD,F,12/24/2015,02/05/2018,Harvest,774,20.5,0.1058,0.0154,0.0563,0.516,0.0717,0.350,0.178,0.866
1818,1818,083016.07,DBA/2J,CD,F,07/30/2014,09/01/2016,Harvest,764,24.57,0.2008,0.1026,0.2527,0.817,0.3553,1.446,0.556,2.263
2541,2541,020518.05,BXD90,CD,F,01/04/2016,02/05/2018,Harvest,763,19.6,0.2433,0.026,0.0823,1.241,0.1083,0.553,0.352,1.794
236,236,101513.14,BXD60,CD,F,09/17/2011,10/15/2013,Harvest,759,26.37,0.292,0.053,0.524,1.107,0.577,2.188,0.869,3.295
1860,1860,083016.05,BXD73,CD,F,08/04/2014,09/01/2016,Harvest,759,17.14,0.1224,0.069,0.2051,0.714,0.2741,1.599,0.397,2.313
2069,2069,102616.09,BXD70,CD,F,09/29/2014,10/26/2016,Harvest,758,25.27,0.6039,0.194,0.3204,2.390,0.5144,2.036,1.118,4.425
30,30,021213.19,BXD77,CD,F,01/17/2011,02/12/2013,Harvest,757,24.4,0.0401,0.0869,0.1404,0.164,0.2273,0.932,0.267,1.096
31,31,021213.20,BXD77,CD,F,01/17/2011,02/12/2013,Harvest,757,16.06,0.0362,,,0.225,0,0.000,0.036,0.225
2114,2114,102616.20,BXD101,CD,F,10/01/2014,10/26/2016,Harvest,756,25.22,,0.0269,,0.000,0.0269,0.107,0.027,0.107
2092,2092,102616.06,BXD63,CD,F,10/05/2014,10/26/2016,Harvest,752,22.4,0.265,0.0347,0.065,1.183,0.0997,0.445,0.365,1.628
1872,1872,083016.03,BXD63,CD,F,08/10/2014,08/30/2016,Harvest,751,26.56,0.0975,0.0812,0.0401,0.367,0.1213,0.457,0.219,0.824
286,286,101513.07,BXD34,CD,F,09/28/2011,10/15/2013,Harvest,748,29.05,0.256,,0.352,0.881,0.352,1.212,0.608,2.093
288,288,101513.08,BXD34,CD,F,09/28/2011,10/15/2013,Harvest,748,25.97,0.121,,0.234,0.466,0.234,0.901,0.355,1.367
2107,2107,102616.07,BXD65b,CD,F,10/09/2014,10/26/2016,Harvest,748,17.62,0.0477,,0.0197,0.271,0.0197,0.112,0.067,0.383
2108,2108,102616.08,BXD65b,CD,F,10/09/2014,10/26/2016,Harvest,748,18.21,0.1996,0.0187,0.0682,1.096,0.0869,0.477,0.287,1.573
254,254,101613.18,BXD86,CD,F,10/01/2011,10/16/2013,Harvest,746,34.15,0.56,0.788,1.908,1.640,2.696,7.895,3.256,9.534
169,169,101513.13,BXD60,CD,F,10/02/2011,10/15/2013,Harvest,744,30.43,0.476,0.23,1.064,1.564,1.294,4.252,1.770,5.817
1162,1162,042214.19,D2B6F1,CD,F,04/08/2012,04/22/2014,Harvest,744,42.05,1.323,0.9325,3.3216,3.146,4.2541,10.117,5.577,13.263
1165,1165,042214.20,D2B6F1,CD,F,04/08/2012,04/22/2014,Harvest,744,43.9,1.435,1.2304,4.92,3.269,6.1504,14.010,7.585,17.279
258,258,101713.03,BXD100,CD,F,10/05/2011,10/17/2013,Harvest,743,24.6,0.082,0.02,0.054,0.333,0.074,0.301,0.156,0.634
259,480,101713.04,BXD100,CD,F,10/05/2011,10/17/2013,Harvest,743,25.26,0.267,0.085,0.29,1.057,0.375,1.485,0.642,2.542
2089,2089,102616.10,BXD73b,CD,F,10/14/2014,10/26/2016,Harvest,743,16.48,0.1793,0.0627,0.0292,1.088,0.0919,0.558,0.271,1.646
87,87,021113.07,BXD32,CD,F,01/31/2011,02/11/2013,Harvest,742,24.95,0.0577,0.1378,0.5799,0.231,0.7177,2.877,0.775,3.108
88,88,021113.08,BXD32,CD,F,01/31/2011,02/11/2013,Harvest,742,22.3,0.0491,0.061,0.0447,0.220,0.1057,0.474,0.155,0.694
95,95,021113.01,BXD11,CD,F,02/01/2011,02/11/2013,Harvest,741,23.2,0.1127,0.0242,0.1782,0.486,0.2024,0.872,0.315,1.358
96,96,021113.02,BXD11,CD,F,02/01/2011,02/11/2013,Harvest,741,25.25,0.0795,0.0513,0.1399,0.315,0.1912,0.757,0.271,1.072
136,136,101513.10,BXD48,CD,F,10/06/2011,10/15/2013,Harvest,740,26.27,0.165,0.045,0.156,0.628,0.201,0.765,0.366,1.393
689,689,062013.07,C57BL/6J,CD,F,06/12/2011,06/20/2013,Harvest,739,24.29,0.0855,0.0576,0.2637,0.352,0.3213,1.323,0.407,1.675
800,800,010614.01,BXD101,CD,F,12/30/2011,01/06/2014,Harvest,738,22.94,0.107,0.039,0.1719,0.466,0.2109,0.919,0.318,1.386
2316,2316,102616.01,BXD68,CD,F,10/22/2014,10/26/2016,Harvest,735,28.02,1.5097,0.2774,0.7048,5.388,0.9822,3.505,2.492,8.893
691,927,062013.08,C57BL/6J,CD,F,06/17/2011,06/20/2013,Harvest,734,28.68,0.1466,0.2568,0.5928,0.511,0.8496,2.962,0.996,3.474
1096,1096,012615.02,BXD90,CD,F,01/28/2013,01/30/2015,Harvest,732,23.02,0.109,0.049,0.178,0.474,0.227,0.986,0.336,1.460
132,132,101513.09,BXD48,CD,F,10/15/2011,10/15/2013,Harvest,731,29.72,0.217,0.156,0.454,0.730,0.61,2.052,0.827,2.783
252,252,101613.17,BXD86,CD,F,10/16/2011,10/16/2013,Harvest,731,21.33,0.193,0.123,0.209,0.905,0.332,1.556,0.525,2.461
675,675,010614.05,BXD39,CD,F,01/07/2012,01/06/2014,Harvest,730,20.2,0.0482,0.0224,0.67,0.239,0.6924,3.428,0.741,3.666
673,673,010614.06,BXD39,CD,F,01/07/2012,01/06/2014,Harvest,730,21.3,0.0533,0.0055,0.1213,0.250,0.1268,0.595,0.180,0.846
1228,1228,012615.05,B6D2F1,CD,F,02/03/2013,01/30/2015,Harvest,726,43.79,0.859,1.23,5.305,1.962,6.535,14.923,7.394,16.885
1209,1798,012615.03,BXD62,CD,F,02/05/2013,01/30/2015,Harvest,724,26.34,0.206,0.038,0.194,0.782,0.232,0.881,0.438,1.663
1044,1044,012615.08,BXD29,CD,F,02/05/2013,01/30/2015,Harvest,724,21.33,,,,0.000,0,0.000,,
1045,1045,012615.09,BXD29,CD,F,02/05/2013,01/30/2015,Harvest,724,24.23,0.141,0.051,0.149,0.582,0.2,0.825,0.341,1.407
2040,2040,092216.14,BXD40,CD,F,10/04/2014,09/22/2016,Harvest,719,31.45,0.0111,0.0113,0.0391,0.035,0.0504,0.160,0.062,0.196
851,851,010614.09,BXD53,CD,F,01/19/2012,01/06/2014,Harvest,718,26.07,0.0937,0.0301,0.3001,0.359,0.3302,1.267,0.424,1.626
854,854,010614.10,BXD53,CD,F,01/19/2012,01/06/2014,Harvest,718,32.54,0.4899,0.654,1.334,1.506,1.988,6.109,2.478,7.615
895,929,010614.19,BXD88,CD,F,01/21/2012,01/06/2014,Harvest,716,26.36,0.684,0.1317,0.2607,2.595,0.3924,1.489,1.076,4.083
897,897,010614.20,BXD88,CD,F,01/21/2012,01/06/2014,Harvest,716,32.45,0.015,,,0.046,0,0.000,0.015,0.046
1343,1343,101014.07,BXD67,CD,F,10/23/2012,10/09/2014,Harvest,716,23.48,0.158,0.111,0.282,0.673,0.393,1.674,0.551,2.347
1344,1344,101014.08,BXD67,CD,F,10/23/2012,10/09/2014,Harvest,716,27.03,0.131,0.067,0.364,0.485,0.431,1.595,0.562,2.079
448,448,101713.05,BXD102,CD,F,11/03/2011,10/17/2013,Harvest,714,28,0.411,0.27,0.968,1.468,1.238,4.421,1.649,5.889
450,450,101713.06,BXD102,CD,F,11/03/2011,10/17/2013,Harvest,714,24.95,0.32,0.309,0.865,1.283,1.174,4.705,1.494,5.988
807,807,101513.17,BXD65,CD,F,11/04/2011,10/15/2013,Harvest,711,26.42,0.14,0.147,0.724,0.530,0.871,3.297,1.011,3.827
808,808,101513.18,BXD65,CD,F,11/04/2011,10/15/2013,Harvest,711,32.48,0.385,0.173,2.613,1.185,2.786,8.578,3.171,9.763
1518,1518,121515.21,BXD51,CD,F,01/09/2014,12/15/2015,Harvest,705,26.04,0.074,0.221,0.463,0.284,0.684,2.627,0.758,2.911
1541,1541,121515.04,BXD24,CD,F,02/06/2014,12/15/2015,Harvest,677,32.34,0.252,0.244,3.416,0.779,3.66,11.317,3.912,12.096
1327,1327,042415.24,BXD40,CD,F,06/18/2013,04/24/2015,Harvest,675,30.97,0.2328,0.1754,0.9011,0.752,1.0765,3.476,1.309,4.228
1564,1564,050115.21,BXD95,CD,F,07/26/2013,05/01/2015,Harvest,644,24.92,0.0948,0.1294,0.2665,0.380,0.3959,1.589,0.491,1.969
2645,2645,020518.03,DBA/2J,CD,F,05/02/2016,02/05/2018,Harvest,644,15.6,,,,0.000,0,0.000,,
1227,1227,121214.29,B6D2F1,CD,F,03/15/2013,12/15/2014,Harvest,640,45.94,0.0574,0.2611,1.0902,0.125,1.3513,2.941,1.409,3.066
1035,1288,111314.09,BXD29,CD,F,02/21/2013,11/13/2014,Harvest,630,28.62,0.3343,0.3348,0.8223,1.168,1.1571,4.043,1.491,5.211
1240,1313,111314.18,BXD100,CD,F,02/23/2013,11/13/2014,Harvest,628,28.35,0.1679,,0.2147,0.592,0.2147,0.757,0.383,1.350
1241,1241,111314.19,BXD100,CD,F,02/23/2013,11/13/2014,Harvest,628,29.22,0.1443,,,0.494,0,0.000,0.144,0.494
1188,1188,111314.13,BXD48a,CD,F,03/19/2013,11/13/2014,Harvest,604,23.87,0.1066,,0.1549,0.447,0.1549,0.649,0.262,1.096
1189,1189,111314.14,BXD48a,CD,F,03/19/2013,11/13/2014,Harvest,604,27.02,0.1135,0.058,0.2323,0.420,0.2903,1.074,0.404,1.494
820,820,061913.11,BXD63,CD,F,11/15/2011,06/19/2013,Harvest,582,23.12,0.0597,0.0056,0.3424,0.258,0.348,1.505,0.408,1.763
821,821,061913.12,BXD63,CD,F,11/15/2011,06/19/2013,Harvest,582,27.92,0.1842,0.1099,0.875,0.660,0.9849,3.528,1.169,4.187
296,296,061913.19,BXD87,CD,F,11/16/2011,06/19/2013,Harvest,581,19.67,0.0697,0.0451,0.1221,0.354,0.1672,0.850,0.237,1.204
298,298,061913.20,BXD87,CD,F,11/16/2011,06/19/2013,Harvest,581,22.75,0.1834,0.1786,0.4149,0.806,0.5935,2.609,0.777,3.415
679,679,061913.05,BXD40,CD,F,11/19/2011,06/19/2013,Harvest,578,26.33,0.1371,0.268,0.7595,0.521,1.0275,3.902,1.165,4.423
680,680,061913.06,BXD40,CD,F,11/19/2011,06/19/2013,Harvest,578,29.13,0.4004,0.7405,0.5049,1.375,1.2454,4.275,1.646,5.650
1040,1040,111314.11,BXD29,CD,F,04/18/2013,11/13/2014,Harvest,574,29.58,0.4418,0.2803,0.9148,1.494,1.1951,4.040,1.637,5.534
1041,1041,111314.12,BXD29,CD,F,04/18/2013,11/13/2014,Harvest,574,29.02,0.6051,0.4482,1.1687,2.085,1.6169,5.572,2.222,7.657
742,742,061913.01,BXD29,CD,F,11/25/2011,06/19/2013,Harvest,572,22.37,0.0869,0.0327,0.156,0.388,0.1887,0.844,0.276,1.232
743,743,061913.02,BXD29,CD,F,11/25/2011,06/19/2013,Harvest,572,22.71,0.0624,0.0458,0.2708,0.275,0.3166,1.394,0.379,1.669
847,847,062013.15,BXD53,CD,F,11/27/2011,06/20/2013,Harvest,571,25.95,0.2004,0.3225,0.6263,0.772,0.9488,3.656,1.149,4.429
848,848,062013.16,BXD53,CD,F,11/27/2011,06/20/2013,Harvest,571,35.47,0.4974,0.6379,2.6445,1.402,3.2824,9.254,3.780,10.656
831,831,061913.15,BXD79,CD,F,11/27/2011,06/19/2013,Harvest,570,24.73,0.0683,0.0879,0.3132,0.276,0.4011,1.622,0.469,1.898
832,832,061913.16,BXD79,CD,F,11/27/2011,06/19/2013,Harvest,570,35.51,0.3214,0.5626,3.0231,0.905,3.5857,10.098,3.907,11.003
1190,1190,111314.15,BXD100,CD,F,04/25/2013,11/13/2014,Harvest,567,29.4,0.2342,0.0986,0.4913,0.797,0.5899,2.006,0.824,2.803
758,758,101613.01,BXD67,CD,F,03/31/2012,10/16/2013,Harvest,564,22.02,0.096,0.036,0.178,0.436,0.214,0.972,0.310,1.408
759,759,101613.02,BXD67,CD,F,03/31/2012,10/16/2013,Harvest,564,22.78,0.126,0.041,0.369,0.553,0.41,1.800,0.536,2.353
883,883,062013.17,BXD91,CD,F,12/06/2011,06/20/2013,Harvest,562,29.26,0.309,0.1013,1.1664,1.056,1.2677,4.333,1.577,5.389
884,884,062013.18,BXD91,CD,F,12/06/2011,06/20/2013,Harvest,562,25.7,0.1226,0.1609,0.6768,0.477,0.8377,3.260,0.960,3.737
591,591,061913.13,BXD69,CD,F,12/09/2011,06/19/2013,Harvest,558,33.33,0.6307,0.1778,2.5382,1.892,2.716,8.149,3.347,10.041
592,592,061913.14,BXD69,CD,F,12/09/2011,06/19/2013,Harvest,558,31.81,0.4447,0.1867,2.1698,1.398,2.3565,7.408,2.801,8.806
765,765,101513.05,BXD34,CD,F,04/09/2012,10/15/2013,Harvest,554,25.92,0.14,,0.279,0.540,0.279,1.076,0.419,1.617
766,766,101513.06,BXD34,CD,F,04/09/2012,10/15/2013,Harvest,554,25.34,0.24,0.096,0.397,0.947,0.493,1.946,0.733,2.893
299,299,090512.13,BXD83,CD,F,03/02/2011,09/05/2012,Harvest,553,22.7,0.0404,,,0.178,0,0.000,0.040,0.178
301,301,090512.14,BXD83,CD,F,03/02/2011,09/05/2012,Harvest,553,21.4,0.1,0.0543,0.006,0.467,0.0603,0.282,0.160,0.749
1535,1568,012615.06,B6D2F1,CD,F,07/27/2013,01/30/2015,Harvest,552,28.41,0.329,0.208,0.371,1.158,0.579,2.038,0.908,3.196
1536,1569,012615.07,B6D2F1,CD,F,07/27/2013,01/30/2015,Harvest,552,27,0.17,0.171,0.419,0.630,0.59,2.185,0.760,2.815
1322,1322,102414.02,BXD39,CD,F,04/22/2013,10/24/2014,Harvest,550,18.09,0.063,0.011,0.119,0.348,0.13,0.719,0.193,1.067
1199,1199,102414.19,BXD64,CD,F,04/22/2013,10/24/2014,Harvest,550,22.93,0.0872,0.0532,0.3906,0.380,0.4438,1.935,0.531,2.316
755,755,062013.01,BXD90,CD,F,12/19/2011,06/20/2013,Harvest,549,25.87,0.1471,0.1293,0.3695,0.569,0.4988,1.928,0.646,2.497
756,756,062013.02,BXD90,CD,F,12/19/2011,06/20/2013,Harvest,549,25.52,0.1727,0.1719,0.677,0.677,0.8489,3.326,1.022,4.003
1006,1006,082214.11,BXD9,CD,F,02/20/2013,08/22/2014,Harvest,548,29.66,0.03,0.038,0.074,0.101,0.112,0.378,0.142,0.479
1206,1206,082214.12,BXD62,CD,F,02/20/2013,08/22/2014,Harvest,548,24.6,0.116,0.326,0.413,0.472,0.739,3.004,0.855,3.476
645,645,062013.11,D2B6F1,CD,F,12/23/2011,06/20/2013,Harvest,545,35.75,0.826,0.7495,2.3999,2.310,3.1494,8.810,3.975,11.120
646,646,062013.12,D2B6F1,CD,F,12/23/2011,06/20/2013,Harvest,545,48.47,1.5786,1.148,5.0506,3.257,6.1986,12.789,7.777,16.045
1079,1079,082214.01,BXD68,CD,F,02/23/2013,08/22/2014,Harvest,545,25.08,0.1346,0.1096,0.3811,0.537,0.4907,1.957,0.625,2.493
1080,1080,082214.02,BXD34,CD,F,02/23/2013,08/22/2014,Harvest,545,25.5,0.2923,0.0734,0.6882,1.146,0.7616,2.987,1.054,4.133
614,614,021313.27,BXD86,CD,F,08/18/2011,02/12/2013,Harvest,544,37.9,0.6395,1.4822,2.7212,1.687,4.2034,11.091,4.843,12.778
615,615,021313.28,BXD86,CD,F,08/18/2011,02/12/2013,Harvest,544,36.91,0.698,1.959,2.4458,1.891,4.4048,11.934,5.103,13.825
1786,1786,121615.08,BXD65,CD,F,06/23/2014,12/16/2015,Harvest,541,31.66,0.342,0.614,2.383,1.080,2.997,9.466,3.339,10.546
1787,1787,121615.09,BXD65,CD,F,06/23/2014,12/16/2015,Harvest,541,27.49,0.066,0.284,1.019,0.240,1.303,4.740,1.369,4.980
1906,1906,121615.17,BXD73,CD,F,06/25/2014,12/16/2015,Harvest,539,20.47,0.023,0.05,0.128,0.112,0.178,0.870,0.201,0.982
1907,1907,121615.18,BXD73,CD,F,06/25/2014,12/16/2015,Harvest,539,21.26,0.073,0.086,0.221,0.343,0.307,1.444,0.380,1.787
1184,1184,050914.01,BXD100,CD,F,11/18/2012,05/09/2014,Harvest,537,36.5,0.697,0.9534,1.728,1.910,2.6814,7.346,3.378,9.256
1185,1296,050914.02,BXD100,CD,F,11/18/2012,05/09/2014,Harvest,537,31.39,0.4512,0.5262,1.0807,1.437,1.6069,5.119,2.058,6.557
1103,1103,091914.09,C57BL/6J,CD,F,03/31/2013,09/19/2014,Harvest,537,27.83,0.221,0.386,0.823,0.794,1.209,4.344,1.430,5.138
1104,1764,091914.10,C57BL/6J,CD,F,03/31/2013,09/19/2014,Harvest,537,35.34,0.613,0.997,1.786,1.735,2.783,7.875,3.396,9.610
1565,1565,101014.09,BXD95,CD,F,04/21/2013,10/09/2014,Harvest,536,20.76,0.107,0.196,0.288,0.515,0.484,2.331,0.591,2.847
1566,1742,101014.10,BXD95,CD,F,04/21/2013,10/09/2014,Harvest,536,24.79,0.176,0.276,0.574,0.710,0.85,3.429,1.026,4.139
1354,1354,111414.14,BXD99,CD,F,05/28/2013,11/14/2014,Harvest,535,22.8,0.0905,0.0531,0.0712,0.397,0.1243,0.545,0.215,0.942
1812,1812,121515.01,DBA/2J,CD,F,07/01/2014,12/15/2015,Harvest,532,23.02,0.063,0.113,0.642,0.274,0.755,3.280,0.818,3.553
1813,1813,121515.02,DBA/2J,CD,F,07/01/2014,12/15/2015,Harvest,532,39.91,,0.163,,0.000,0.163,0.408,0.163,0.408
2251,2251,121615.24,BXD98,CD,F,07/03/2014,12/16/2015,Harvest,531,23.26,0.018,0.078,0.109,0.077,0.187,0.804,0.205,0.881
2252,2252,121615.25,BXD98,CD,F,07/03/2014,12/16/2015,Harvest,531,23.46,0.032,0.098,0.12,0.136,0.218,0.929,0.250,1.066
170,170,021213.13,BXD60,CD,F,09/01/2011,02/12/2013,Harvest,530,43.42,1.1865,1.7742,2.3461,2.733,4.1203,9.489,5.307,12.222
171,171,021213.14,BXD60,CD,F,09/01/2011,02/12/2013,Harvest,530,24.14,0.0744,0.072,0.2192,0.308,0.2912,1.206,0.366,1.514
1793,1793,121615.12,BXD65,CD,F,07/07/2014,12/16/2015,Harvest,527,30.76,0.051,0.331,1.593,0.166,1.924,6.255,1.975,6.421
1794,1794,121615.13,BXD65b,CD,F,07/07/2014,12/16/2015,Harvest,527,42.63,0.442,0.615,5.072,1.037,5.687,13.340,6.129,14.377
1844,1844,121615.05,BXD62,CD,F,07/09/2014,12/16/2015,Harvest,525,24.38,0.034,0.062,0.371,0.139,0.433,1.776,0.467,1.916
1840,1840,121515.22,BXD61,CD,F,07/09/2014,12/15/2015,Harvest,524,38.28,0.528,0.22,2.793,1.379,3.013,7.871,3.541,9.250
1841,1841,121515.23,BXD61,CD,F,07/09/2014,12/15/2015,Harvest,524,36.58,0.432,0.496,3.008,1.181,3.504,9.579,3.936,10.760
1835,1835,121515.18,BXD48,CD,F,07/15/2014,12/15/2015,Harvest,518,31.8,0.168,0.227,0.497,0.528,0.724,2.277,0.892,2.805
1836,1913,121515.19,BXD48,CD,F,07/15/2014,12/15/2015,Harvest,518,28.88,0.056,0.106,0.221,0.194,0.327,1.132,0.383,1.326
1801,1801,121515.07,BXD32,CD,F,07/16/2014,12/15/2015,Harvest,517,32.17,0.405,0.489,1.391,1.259,1.88,5.844,2.285,7.103
1802,1802,121515.08,BXD32,CD,F,07/16/2014,12/15/2015,Harvest,517,33.51,0.343,0.479,1.802,1.024,2.281,6.807,2.624,7.830
1426,1426,042715.22,BXD101,CD,F,11/30/2013,04/27/2015,Harvest,513,25.56,0.2327,0.0832,0.3748,0.910,0.458,1.792,0.691,2.702
1826,1826,121515.12,BXD45,CD,F,07/26/2014,12/15/2015,Harvest,507,24.64,0.016,0.137,0.152,0.065,0.289,1.173,0.305,1.238
1827,1827,121515.13,BXD45,CD,F,07/26/2014,12/15/2015,Harvest,507,25.24,0.035,0.142,0.191,0.139,0.333,1.319,0.368,1.458
1499,1499,042915.01,BXD102,CD,F,12/14/2013,04/29/2015,Harvest,501,26.74,0.1833,0.198,0.5158,0.685,0.7138,2.669,0.897,3.355
1500,1746,042915.02,BXD102,CD,F,12/14/2013,04/29/2015,Harvest,501,23.01,0.0875,0.0925,0.1894,0.380,0.2819,1.225,0.369,1.605
1443,1443,042715.10,D2B6F1,CD,F,12/13/2013,04/27/2015,Harvest,500,46.38,0.961,0.2406,4.5462,2.072,4.7868,10.321,5.748,12.393
1466,1466,050115.15,BXD73b,CD,F,12/20/2013,05/01/2015,Harvest,497,23.54,0.2893,0.2962,0.9366,1.229,1.2328,5.237,1.522,6.466
1534,1800,042915.08,BXD29,CD,F,01/06/2014,04/29/2015,Harvest,478,23.15,0.1229,0.0932,0.2966,0.531,0.3898,1.684,0.513,2.215
1546,1546,050115.14,BXD73b,CD,F,01/12/2014,05/01/2015,Harvest,474,26.39,0.2578,0.3838,1.1876,0.977,1.5714,5.955,1.829,6.931
1429,1429,050115.20,BXD79,CD,F,01/14/2014,05/01/2015,Harvest,472,23.61,0.0178,0.0216,0.1224,0.075,0.144,0.610,0.162,0.685
1554,1554,050115.18,BXD79,CD,F,01/18/2014,05/01/2015,Harvest,468,27.83,0.1327,0.2433,1.1398,0.477,1.3831,4.970,1.516,5.447
1555,1555,050115.19,BXD79,CD,F,01/18/2014,05/01/2015,Harvest,468,27.95,0.2286,0.3318,1.3877,0.818,1.7195,6.152,1.948,6.970
2663,2663,020518.07,BXD16,CD,F,10/28/2016,02/05/2018,Harvest,465,40.4,3.6801,0.5256,1.3738,9.109,1.8994,4.701,5.580,13.811
1514,1799,042715.17,BXD100,CD,F,01/19/2014,04/27/2015,Harvest,463,23.46,0.1338,0.0708,0.2246,0.570,0.2954,1.259,0.429,1.829
1397,1397,050115.16,BXD77,CD,F,01/26/2014,05/01/2015,Harvest,460,27.43,0.13,0.1444,0.3308,0.474,0.4752,1.732,0.605,2.206
1398,1398,050115.17,BXD77,CD,F,01/26/2014,05/01/2015,Harvest,460,26.44,0.1208,0.0934,0.2381,0.457,0.3315,1.254,0.452,1.711
1482,1482,042915.12,BXD40,CD,F,02/02/2014,04/29/2015,Harvest,451,25.95,0.2901,0.1756,0.6545,1.118,0.8301,3.199,1.120,4.317
2077,2077,121615.22,BXD89,CD,F,09/28/2014,12/16/2015,Harvest,444,25.99,0.082,0.288,0.659,0.316,0.947,3.644,1.029,3.959
2078,2078,121615.23,BXD89,CD,F,09/28/2014,12/16/2015,Harvest,444,25.56,0.102,0.344,0.937,0.399,1.281,5.012,1.383,5.411
1454,1454,042915.17,BXD48a,CD,F,02/17/2014,04/29/2015,Harvest,436,25.83,0.1332,0.1071,0.4209,0.516,0.528,2.044,0.661,2.560
